Índice,Nome
0,B01_mean.tiff
1,B01_q0.tiff
2,B01_q1.tiff
3,B01_q2.tiff
4,B01_q3.tiff
5,B01_q4.tiff
6,B01_var.tiff
7,B02_mean.tiff
8,B02_q0.tiff
9,B02_q1.tiff
10,B02_q2.tiff
11,B02_q3.tiff
12,B02_q4.tiff
13,B02_var.tiff
14,B03_mean.tiff
15,B03_q0.tiff
16,B03_q1.tiff
17,B03_q2.tiff
18,B03_q3.tiff
19,B03_q4.tiff
20,B03_var.tiff
21,B04_mean.tiff
22,B04_q0.tiff
23,B04_q1.tiff
24,B04_q2.tiff
25,B04_q3.tiff
26,B04_q4.tiff
27,B04_var.tiff
28,B05_mean.tiff
29,B05_q0.tiff
30,B05_q1.tiff
31,B05_q2.tiff
32,B05_q3.tiff
33,B05_q4.tiff
34,B05_var.tiff
35,B06_mean.tiff
36,B06_q0.tiff
37,B06_q1.tiff
38,B06_q2.tiff
39,B06_q3.tiff
40,B06_q4.tiff
41,B06_var.tiff
42,B07_mean.tiff
43,B07_q0.tiff
44,B07_q1.tiff
45,B07_q2.tiff
46,B07_q3.tiff
47,B07_q4.tiff
48,B07_var.tiff
49,B08_mean.tiff
50,B08_q0.tiff
51,B08_q1.tiff
52,B08_q2.tiff
53,B08_q3.tiff
54,B08_q4.tiff
55,B08_var.tiff
56,B09_mean.tiff
57,B09_q0.tiff
58,B09_q1.tiff
59,B09_q2.tiff
60,B09_q3.tiff
61,B09_q4.tiff
62,B09_var.tiff
63,B10_mean.tiff
64,B10_q0.tiff
65,B10_q1.tiff
66,B10_q2.tiff
67,B10_q3.tiff
68,B10_q4.tiff
69,B10_var.tiff
70,B11_mean.tiff
71,B11_q0.tiff
72,B11_q1.tiff
73,B11_q2.tiff
74,B11_q3.tiff
75,B11_q4.tiff
76,B11_var.tiff
77,B12_mean.tiff
78,B12_q0.tiff
79,B12_q1.tiff
80,B12_q2.tiff
81,B12_q3.tiff
82,B12_q4.tiff
83,B12_var.tiff
84,B8A_mean.tiff
85,B8A_q0.tiff
86,B8A_q1.tiff
87,B8A_q2.tiff
88,B8A_q3.tiff
89,B8A_q4.tiff
90,B8A_var.tiff
91,VH_mean.tiff
92,VH_q0.tiff
93,VH_q1.tiff
94,VH_q2.tiff
95,VH_q3.tiff
96,VH_q4.tiff
97,VH_var.tiff
98,VVVH_mean.tiff
99,VVVH_q0.tiff
100,VVVH_q1.tiff
101,VVVH_q2.tiff
102,VVVH_q3.tiff
103,VVVH_q4.tiff
104,VVVH_var.tiff
105,VV_mean.tiff
106,VV_q0.tiff
107,VV_q1.tiff
108,VV_q2.tiff
109,VV_q3.tiff
110,VV_q4.tiff
111,VV_var.tiff
112,evi_mean.tiff
113,evi_q0.tiff
114,evi_q1.tiff
115,evi_q2.tiff
116,evi_q3.tiff
117,evi_q4.tiff
118,evi_var.tiff
119,ndbi_mean.tiff
120,ndbi_q0.tiff
121,ndbi_q1.tiff
122,ndbi_q2.tiff
123,ndbi_q3.tiff
124,ndbi_q4.tiff
125,ndbi_var.tiff
126,ndvi_mean.tiff
127,ndvi_q0.tiff
128,ndvi_q1.tiff
129,ndvi_q2.tiff
130,ndvi_q3.tiff
131,ndvi_q4.tiff
132,ndvi_var.tiff
133,ndwi_mean.tiff
134,ndwi_q0.tiff
135,ndwi_q1.tiff
136,ndwi_q2.tiff
137,ndwi_q3.tiff
138,ndwi_q4.tiff
139,ndwi_var.tiff
