TYPE,THOLD,N_ATT,N_TRANSF,KAPPA,CLASS,PRECISION,RECALL,F1,TRAINTIME,PREDTIME
IMPORTANCES,0.5,143,7,0.6965475300321309,1,0.7728338253168953,0.4929667165088331,0.6019611158072696,500.7210416793823,1.9640014171600342
IMPORTANCES,0.5,143,7,0.6965475300321309,2,0.9728776794309878,0.9925131089660355,0.9825973093557154,500.7210416793823,1.9640014171600342
IMPORTANCES,0.5,143,7,0.6965475300321309,3,0.9694656488549618,0.8730786691743952,0.9187510663709265,500.7210416793823,1.9640014171600342
IMPORTANCES,0.6,143,15,0.7665064171952186,1,0.8150420105584059,0.6070498975466578,0.695835713832286,555.810998916626,2.1000006198883057
IMPORTANCES,0.6,143,15,0.7665064171952186,2,0.9791458577192621,0.9925725068100318,0.9858134670882176,555.810998916626,2.1000006198883057
IMPORTANCES,0.6,143,15,0.7665064171952186,3,0.9685885232526517,0.9239250275633958,0.9457297440833804,555.810998916626,2.1000006198883057
IMPORTANCES,0.7,143,30,0.8087238526272112,1,0.8383639024058257,0.6822008085507005,0.7522633242240575,641.7357611656189,2.759000539779663
IMPORTANCES,0.7,143,30,0.8087238526272112,2,0.9832056453543324,0.9929123177314997,0.9880351420023629,641.7357611656189,2.759000539779663
IMPORTANCES,0.7,143,30,0.8087238526272112,3,0.9709313954263618,0.944484078085479,0.957525149582484,641.7357611656189,2.759000539779663
IMPORTANCES,0.8,143,53,0.841324308988243,1,0.8667321867321868,0.7325967768732348,0.7940395264034575,787.0379986763,4.503999471664429
IMPORTANCES,0.8,143,53,0.841324308988243,2,0.9859656334785826,0.9939303691506937,0.9899319810251274,787.0379986763,4.503999471664429
IMPORTANCES,0.8,143,53,0.841324308988243,3,0.9761873350923482,0.9597898696413516,0.9679191602079859,787.0379986763,4.503999471664429
IMPORTANCES,0.9,143,92,0.8409634794216589,1,0.8653883908121196,0.7323475660408706,0.7933289339492471,981.473394870758,6.0760016441345215
IMPORTANCES,0.9,143,92,0.8409634794216589,2,0.9859663691663001,0.9938861661039987,0.9899104272676429,981.473394870758,6.0760016441345215
IMPORTANCES,0.9,143,92,0.8409634794216589,3,0.9766429136975455,0.9599844347882482,0.9682420278004906,981.473394870758,6.0760016441345215
IMPORTANCES,0.95,143,115,0.8391097188983938,1,0.8646782202637378,0.7280832917981946,0.7905235783112609,1382.2141530513763,79.26903986930847
IMPORTANCES,0.95,143,115,0.8391097188983938,2,0.9857557976246419,0.9938972168656725,0.9898097662539902,1382.2141530513763,79.26903986930847
IMPORTANCES,0.95,143,115,0.8391097188983938,3,0.9772202046880158,0.9598547246903172,0.968459625703442,1382.2141530513763,79.26903986930847
IMPORTANCES,0.99,143,137,0.8381812992611339,1,0.8643922679224157,0.7268372376363738,0.7896692288022141,1473.6141929626465,94.54399943351746
IMPORTANCES,0.99,143,137,0.8381812992611339,2,0.9856716409731612,0.9938668272710697,0.9897522702996046,1473.6141929626465,94.54399943351746
IMPORTANCES,0.99,143,137,0.8381812992611339,3,0.976232917409388,0.9590116090537648,0.9675456389452333,1473.6141929626465,94.54399943351746
ELASTIC,1e-05,143,42,0.7970704621403661,1,0.836231071228267,0.6606114311032344,0.7381188118811881,269.80099606513977,0.8389999866485596
ELASTIC,1e-05,143,42,0.7970704621403661,2,0.981931825011337,0.9930324947647017,0.9874509631550609,269.80099606513977,0.8389999866485596
ELASTIC,1e-05,143,42,0.7970704621403661,3,0.970310391363023,0.9325551232166018,0.951058201058201,269.80099606513977,0.8389999866485596
ELASTIC,1e-05,143,42,0.7988848653135976,1,0.8357669308858295,0.6657066902968543,0.7411061101177632,269.3309316635132,0.8359999656677246
ELASTIC,1e-05,143,42,0.7988848653135976,2,0.982182092456357,0.9929219871479642,0.9875228399895588,269.3309316635132,0.8359999656677246
ELASTIC,1e-05,143,42,0.7988848653135976,3,0.9690277403716672,0.9333333333333333,0.9508456659619451,269.3309316635132,0.8359999656677246
ELASTIC,1e-05,143,42,0.7988958519859392,1,0.8376259798432251,0.6628267611874169,0.7400445213950038,271.26099491119385,0.839000940322876
ELASTIC,1e-05,143,42,0.7988958519859392,2,0.9820775800361727,0.9930822231922335,0.9875492453172305,271.26099491119385,0.839000940322876
ELASTIC,1e-05,143,42,0.7988958519859392,3,0.9711668014012396,0.9348897535667964,0.9526830557758393,271.26099491119385,0.839000940322876
BORUTA,100,143,140,0.7949409781085925,1,0.827968923418424,0.6610544971200709,0.7351564424735156,79.91395020484924,3.4120001792907715
BORUTA,100,143,140,0.7949409781085925,2,0.981963073492277,0.9926788703911417,0.9872918962139468,79.91395020484924,3.4120001792907715
BORUTA,100,143,140,0.7949409781085925,3,0.9713513513513513,0.932295719844358,0.9514228987425547,79.91395020484924,3.4120001792907715
BORUTA,95,143,140,0.7976306328654343,1,0.8334490901514099,0.664599025254763,0.7395082270290257,82.35098576545715,3.4409992694854736
BORUTA,95,143,140,0.7976306328654343,2,0.9821057694409829,0.9928556825779217,0.9874514695821095,82.35098576545715,3.4409992694854736
BORUTA,95,143,140,0.7976306328654343,3,0.9700243046178774,0.9317769130998703,0.9505160095263298,82.35098576545715,3.4409992694854736
